name,description
Wetpaint,Wetpaint is a technology platform company that uses its proprietary state-of-the-art technology and expertise in social media to build and monetize audiences for digital publishers.
Flektor,"Flektor is a rich-media mash-up platform that enables consumers to create, remix and share photos and videos on the internet without the need for advanced video-editing skills or software.

Fox Interactive Media, a division of News Corporation, announced that it had completed the purchase of Flektor on May 30, 2007.  The estimated puchase price is $15-20 million."
There,"There.com is an online virtual world where anyone can explore, meet friends and play games. It was founded in 1998 by Will Harvey, a Stanford computer science Ph.D. and game developer, and Jeffrey Ventrella, an expert on artificial life from MIT's Media Lab. The duo raised approximately $37 million - including $20 million from employees, $11 million from angel investors and $6 million from Sutter Hill Ventures. In 2005 the company was spun off under Makena Technologies, and in March 2010 There closed to the public. In May 2011, There announced it would reopen as a 18+ Cloud-based service. As of Nov 2013, There is open.

There.com is a subscription service with a monthly fee of $10.00. Additional in-game accessories can be purchased for separate fees.

Other online virtual worlds include [Kaneva](http://www.crunchbase.com/company/kaneva), [Second Life](http://www.crunchbase.com/company/secondlife) and [Cyworld](http://www.crunchbase.com/company/cyworld)."
MYWEBBO,"BRAND NEW ONLINE SOCIAL NETWORKING WEBSITE,FOR MAKING NEW FRIENDS OR CHATTING TO OLD ONE'S.

PACKED WITH NEW FEATURES SUCH AS RATING PROFILES , RATING MUSIC,VIDEO'S AND PICTURES ,UPLOADING MUSIC ,VIDEO'S PICTURES , CREATING CLASSIFIED ADS ,SHOUTOUT BOX!, AND ONLINE CHAT AREA FOR MAKING NEW FRIENDS OR SIMPLY CHATTING TO YOUR OLD ONE'S ,THERE ARE LOADS OF GREAT FEATURES FOR ANYONE TO TRY .. PLUS MANY MORE TO COME ."
THE Movie Streamer,"This company shows free movies online on their website which, in fact, is not illegal since they are not the ones hosting the videos."
Synergie Media,"Synergie Media is a Dutch and Moroccan Web Design company that specializes in website design, website development, database programming, and search engine optimization (SEO). 

Synergie Media also builds functional social media applications (Facebook, OpenSocial, Myspace,...)"
Green Basti Ecosystems,"Creating infrastructure to provide incentives for usage of alternative energy and carbon credit aggregation service.

Green Basti Ecosystems is headquartered in Vadodara, India and is creating the ecosystem to drive adoption of alternative energy, initially in rural India.

Currently, Green Basti is focusing its efforts in driving adoption of biogas as an energy source in rural India and providing financial incentives to use alternative energy. This effort has multiple  objectives:

1. To bring cheaper energy source to the rural parts of India
2. Promote use of Biogas while driving down carbon emissions by reducing use of fossil fuels and burning of biomass (which introduces carbon in the atmosphere and reduces forestation)
3. Improve the condition of farmers in rural India by providing them secondary income from usage of alternative energy."
HostNine,At HostNine they are commited to continually evaluating and improving their product line and your services - ensuring that they
Thomas Publishing,"For more than a century, Thomas Publishing has been bringing together industrial buyers and sellers global and nationally. For industrial buyers, ThomasNet.com is the one-stop destination that enables them to find the exact product, service or supplier they need, at the exact time they need it. Through ThomasNet.com, buyers also have instant access to the detailed information they need to make a purchasing or specifying decision, including line-item product details, supplier product catalogs, CAD drawings, and more. The site has more than 600,000 domestic suppliers in more than 70,000 categories, with 15,000 advertising customers. Its international counterpart, ThomasGlobal, has a database of more than a half million suppliers and supports nine different languages. The company also publishes more than a dozen industrial magazines and print products on four continents."
Vetter Idea Management System,"Vetter is a web-based system that helps managers get more ideas from their team in one neat, weekly email."
